SKU,Product,Original Price,Discounted Price
K3-10x100,Conector rapid GEL pentru derivatie 3 fire set 100 Bucati K3-10,39.99,32.99
CASLED10W,Proiector 10W LED IP65 SLIM 6500K CASLED10W,39.99,26.0
RACKFAN1,"Ventilator 120 mm pentru rack, alimentare 220v, Safer, RACKFAN1",39.99,32.0
LPH-18-12,Sursa de alimentare de exterior IP 67 - 12V - 1.5Ah MEAN WELL LPH-18-12,39.99,37.5
BR-301TP,"Brat de montaj camere de supraveghere exterior, metal, 30 cm lungime",39.99,37.0
DS-1293ZJ,"Brat de montaj pentru camere de supraveghere, pentru exterior, DS-1293ZJ",39.99,35.4
RACKSCREW50,"Set 50 de suruburi si piulite pentru rack, RACKSCREW50",39.99,32.0
SPAR-DUOQ-01,"Incarcator retea SPACER, 18W, Interfata 1x USB Type C PD, 1x USB Quick Charge, SPAR-DUOQ-01",39.99,38.0
TSTVA24,Tester pentru voltaj si amperaj 3-24V CC Safer,39.99,37.0
SAF-1280ZJ-DM46,"Doza rotunda din aluminiu pentru camere de supraveghere, Safer, SAF-1280ZJ-DM46",40.99,37.13
GLO-12V5A,"Alimentator camera supraveghere 12V 5A in comutatie, GLO-12V5A",40.99,40.0
SAF-PFA130-E,"Doza de conexiuni, pentru camere de supraveghere, IP66, aluminiu, alba, Safer, SAF-PFA130-E",41.86,38.06
DTMC3G2/64GB,"Memorie USB 3.2 Kingston DTMC3G2/64GB, Capacitate Stick 64GB, 200 MB/s",41.99,40.0
BR-BT61-01002,Proiector LED cu sticla securizata 10W 800LM 3000k IP65 BR-BT61-01002,41.99,40.0
28480,Patent taiere manere cauciuc 160mm 28480,41.99,39.89
PS-5X2S,Prelungitor 3 X 1.5MM 5 prize 2M intrerupator PS-5X2S,41.99,39.0
CAHUB-BC0G,Switch HDMI 1IN X 2OUT 4K Baseus CAHUB-BC0G,41.99,40.0
DCFx50,"Pachet 50 x Mufa 12V alimentare Mama, conectare cu surub",41.99,39.99
DCFx50,"Pachet 50 x Mufa 12V alimentare Mama, conectare cu surub",41.99,39.99
MT QME,Suport pentru router si antena de exterior MIKROTIK MT QME,42.99,39.0
PFA13G,Doza rotunda aluminiu Dahua PFA13G,42.99,36.0
