SKU,Name
KITIP-8X-2MP2830POE,"Kit de supraveghere IP, 8 camere exterior 4MP, 2.8mm, IR 50 metri si NVR 8 canale, KITIP-8X-2MP2830POE"
KIT8FHDSAF200,"Kit complet supraveghere video 8 camere de exterior FULL HD, IR 80 metri, KIT8FHDSAF200"
KITSAF-8X-5MP28IL40,"Sistem 8 camere exterior Iluminare duala 40m, Lentila 2.8 mm, Audio, DVR 8 canale Safer KITSAF-8X-5MP28IL40"
KITEXT8FULLHD-2,"Kit de supraveghere video 8 camere exterior Full HD, 3.6 mm, LED alb 40m, Audio, DVR 8 canale, WizSense, Dahua KITEXT8FULLHD-2"
KITIP-8X-4MP420,"Kit de supraveghere video IP de exterior, 8 camere 4 MP, IR 20 m, NVR 8 canale, Safer, KITIP-8X-4MP420"
KITIP-8X-4MP2830POE,"Kit de supraveghere IP, 8 camere exterior 4MP, 2.8mm, IR 30 metri si NVR 8 canale, KITIP-8X-4MP2830POE"
KITSAF-8X-5MPL40-ACC,"Kit de supraveghere pentru exterior, 8 camere bullet, 5MP, Starlight, DVR 8 canale, functii AI, Accesorii incluse, Safer KITSAF-8X-5MPL40-ACC"
KITIP-8X-4MP420POE,"Kit de supraveghere video IP de exterior, 8 camere 4 MP, IR 20 m, NVR 8 canale, Safer, KITIP-8X-4MP420POE"
KIT8X2MPEXT-SAF,"Kit supraveghere video 8 camere de exterior FULL HD, IR 80M, lentila 3.6mm, KIT8X2MPEXT-SAF"
KIT-DAHUA8-5MPLED40,"Kit de supraveghere compus din 8 Camere Dahua Full Color de 5 MP cu microfon si DVR 8 canale cu AI, KIT-DAHUA8-5MPLED40"
KITIP-8X-4MP2830POE-A,"Kit de supraveghere IP, 8 camere exterior 4MP 2K, 2.8mm, IR si LED 30 metri si NVR 8 canale PoE, KITIP-8X-4MP2830POE-A"
SAF-KITIPC8EXTP-1,"Kit supraveghere IP Safer 8 camere exterior 5MP, Iluminare LED alb 50m, POE ALL, SAF-KITIPC8EXTP-1"
KITIP-8X-5MP880POE,"Kit de supraveghere IP, 8 camere exterior 5MP, 4mm, IR 80 metri si NVR 8 canale, KITIP-8X-5MP880POE"
KIT16AHDEXTHD,"Sistem supraveghere 16 camere de exterior rezolutie 1080p, IR 20 metri, KIT16AHDEXTHD"
KIT16EXT30IRDAH,"Kit supraveghere video, DVR cu 16 camere tip bullet, smart IR 30m, Dahua KIT16EXT30IRDAH"
SAF16XFHDMIXT5MP,"Kit de supraveghere video, mixt, 16 camere interior si exterior, rezolutie Full HD, SAF16XFHDMIXT5MP"
SAF-16XFHDIR40,"Kit supraveghere video, DVR Full HD, cu 16 camere tip bullet, smart IR 40m, SAFER, SAF-16XFHDIR40"
KITSAF16X-5MP2028U,"Kit de supraveghere video, 16 camere 5 MP, IR 20 m, DVR 16 canale, Safer, KITSAF16X-5MP2028U"
