Product,Original Price,Discounted Price
"Switch cu 5 porturi 100 Mbps RJ45, Imou SF105C",26.99,25.0
"Organizator cu inele pentru rack 19 inch, 5 inele, negru, ORGAN-INELE",26.99,25.0
"Doza rotunda din aluminu pentru conexiuni, Safer, SAF-PFA137",26.99,24.13
"Patchcord retea CAT6 10M Gri, PP6U-10M",26.99,20.0
"Suport Perete TV/LCD/LED/PLASMA, Fix, Extra Subtire, 23""-42"", Superior Electronics SUPSTV001",27.99,25.0
"Cablu adaptor de la HDMI Tata la VGA Mama, A-HDMI-VGA-04",27.99,26.0
SET 6 SURUBELNITE CROM-VANADIU VARF MAGNETIC,27.99,26.0
"Micro SD 32GB, V10 cu adaptor, 92Mb/s - Hikvision HS-TF-C1STD-32G-A",27.99,25.0
Cleste sertizat mufe retea RJ 45 si RJ 12,27.99,26.0
"Incarcator retea 5V 3A, SPACER Quick Charge 3.0 18W, SPAR-USBQ-01",28.99,26.8
Cablu HDMI 4K - 1 metru Baseus Cafule CADKLF-E01,28.99,27.0
"Doza de conexiuni rotunda, rezistenta la apa IP66, DAHUA, PFA135",28.99,25.0
"Conector rapid cu gel, set 100 bucati",28.99,25.99
"Doza rotunda aluminiu Dahua rezistenta la apa, PFA134",28.99,25.0
"Doza rotunda din aluminiu, rezistenta la apa, Safer, SAF-PFA134",28.99,25.99
"Organizator cu capac pentru rack 19 inch, 1U, ORGAN-CAPAC",29.99,24.0
"Fasete de prindere, plastic, 7.6 mm x 300 mm, negre, 100 bucati, V-TAC, SKU-11178",29.99,28.0
Cablu adaptor de la HDMI Tata la VGA Mama + Jack Audio 3.5 mm,29.99,26.9
Brat 10 cm pentru montaj doza,29.99,28.0
"Set conector 3 poli pentru doza 0,08 - 2,5mm fir litat 10 bucati",29.99,25.99
Cablu SVGA tata-tata 1.5 m KPO3710-1.5,29.99,25.0
"Cablu VGA negru 3 metri, cu izolatie dubla si ferita premium, CC-PPVGA-10-B(3M)",29.99,27.0
Cablu HDMI 4K - 2 metri Baseus Cafule CADKLF-F01,30.99,29.0
Multimetru digital universal polarizare automata REBEL RB-838,30.99,29.0
Tester de tensiune AC/DC: 6 V - 400 V Rebel MIE-RB-15B,30.99,29.0
"Modul RJ45 ecranat, Cat.6a, ISO/IEC 11801 AMD2, TOOLLESS LINE, Schrack, HSEMRJ6GWA",30.99,29.0
"Prelungitor cu 3 cai, cablu 3 x 1.5 mm, lungime 3 m",31.99,30.0
Pachet 50 x Mufa F,32.99,24.99
"Doza de conexiuni rotunda, aluminiu, DAHUA PFA139",32.99,27.0
"Alimentator 12V 2A Dahua, PFM320-EN-S",32.99,27.0
"Doza de conexiuni rotunda, aluminiu, PFA136",32.99,27.0
Izolator de bucla Dahua PFM791,32.99,27.0
"Doza de conexiuni rotunda, aluminiu, compatibila cu camerele dome Dahua, Dahua PFA137",32.99,27.0
"Alimentator de exterior 12V- 2A Dahua, PFM300",32.99,27.0
Adaptor montaj pentru camere SPEED DOME DAHUA PFA102,32.99,27.0
Detector de tensiune (1000V) fara atingere cu lanterna incorporata UNI-T UT12D-EU,33.99,31.5
"Acumulator 18650 Li-ION 2.15A, 3.7V Samsung",33.99,33.0
"Prelungitor cu 3 prize, cablu 5m, 3x1.5mm, alb, PR3C5M",34.99,32.0
"Cleste de sertizare Ethernet Crimper, 4-6-8P, RJ45 / RJ14 / RJ12 / RJ9, EDL2468 Deli",34.99,32.0
"Cablu UTP + Alimentare gata mufat 20 metri, UTPPOW20M",34.99,29.0
Adaptor wireless TP-Link TL-WN725N 2.4 GHz compatibil cu DVR Hikvision seria iDS,34.99,34.0
Cablu HDMI 1.4 cu ethernet 10m HDMI-ETHERNET-10M,34.99,30.0
"Incarcator retea Quick Charge SPACER, 20W, 1x port USB Type-C PD, SPAR-TYPECQ-01",34.99,32.0
Set 100 cleme click de prindere 20 MM,34.99,30.45
Cablu Monitor DisplayPort la HDMI 3 metri CC-DP-HDMI-3M,34.99,33.0
Cutie plastic cu presetupe CUTIE180X270X100,36.99,35.0
Doza dedicata CCTV cu suport 10 cm montaj aplicat JB311+ST10 Cambox,37.99,35.99
Cablu HDMI 4K - 3 metri Baseus Cafule CADKLF-G01,37.99,33.0
"Sina perforata cu profil omega 1115669, 2000mm, otel zincat galvanic",37.99,36.0
"Cutie de distributie pentru camere de supraveghere, Hikvision DS-1280ZJ-DM8",38.99,28.22
Prelungitor 3 X 1.5MM 3 prize 2M intrerupator PS-3X2S,38.99,37.0
"Alimentator 12V2A Dahua, PFM320D-EN",38.99,33.0
Proiector 20W LED IP65 SLIM CASLED20W,38.99,36.0
"Sursa de alimentare in comutatie, 1.5 A, 12 V, Dahua, PFM320D-015",38.99,33.0
Cablu HDMI 4K - 5 metri Baseus Cafule CADKLF-H01,39.99,37.0
"Patent dezizolator cu maner de cauciuc, pentru fire cu grosimea intre 0.5 si 5 mm, Proline 28486",39.99,38.0
Proiector 10W LED IP65 SLIM 6500K CASLED10W,39.99,26.0
Conector rapid GEL pentru derivatie 3 fire set 100 Bucati K3-10,39.99,32.99
"Baterie 18650 2850 mAh. 3.7V Samsung, BAT0653",39.99,39.0
"Ventilator 120 mm pentru rack, alimentare 220v, Safer, RACKFAN1",39.99,32.0
"Set 50 de suruburi si piulite pentru rack, RACKSCREW50",39.99,32.0
"Brat de montaj pentru camere de supraveghere, pentru exterior, DS-1293ZJ",39.99,35.4
Sursa de alimentare de exterior IP 67 - 12V - 1.5Ah MEAN WELL LPH-18-12,39.99,37.5
"Brat de montaj camere de supraveghere exterior, metal, 30 cm lungime",39.99,37.0
"Incarcator retea SPACER, 18W, Interfata 1x USB Type C PD, 1x USB Quick Charge, SPAR-DUOQ-01",39.99,38.0
Tester pentru voltaj si amperaj 3-24V CC Safer,39.99,37.0
"Doza rotunda din aluminiu pentru camere de supraveghere, Safer, SAF-1280ZJ-DM46",40.99,37.13
"Set 100 cleme click de prindere 25MM, E-13502125",40.99,37.0
"Alimentator camera supraveghere 12V 5A in comutatie, GLO-12V5A",40.99,40.0
"Doza de conexiuni, pentru camere de supraveghere, IP66, aluminiu, alba, Safer, SAF-PFA130-E",41.86,38.06
Set 100 cleme click de prindere 16MM,41.99,40.0
"Memorie USB 3.2 Kingston DTMC3G2/64GB, Capacitate Stick 64GB, 200 MB/s",41.99,40.0
Patent taiere manere cauciuc 160mm 28480,41.99,39.89
Proiector LED cu sticla securizata 10W 800LM 3000k IP65 BR-BT61-01002,41.99,40.0
Prelungitor 3 X 1.5MM 5 prize 2M intrerupator PS-5X2S,41.99,39.0
"Set 100 buc conectori RJ45 CAT6, Dahua, PFM976-631",41.99,36.0
Switch HDMI 1IN X 2OUT 4K Baseus CAHUB-BC0G,41.99,40.0
Doza rotunda aluminiu Dahua PFA13G,42.99,36.0
"Suport de montaj pe perete, Dahua, PFB204W",42.99,36.0
Suport pentru router si antena de exterior MIKROTIK MT QME,42.99,39.0
"Card memorie microSD 64GB pentru camere IP, Kingston CANVAS GO Plus, 170 Mbps, cu adaptor, U3, V30, SDCG3/64GB",42.99,41.0
CABLU video VGA Tata - Tata 5 metri,42.99,39.0
Cutie de distributie pentru camera dome 110 mm diametru DS-1280ZJ-DM18,43.99,32.46
"Set videobalun Full HD pasiv, cu alimentare, HDTVI/HDCVI/AHD UTP101PV-HD12",43.99,42.0
Cleste 5in1 dezizolare si sertizare,43.99,40.0
"Card stocare video Micro SD 64GB -V30, cu Adaptor - 92Mb/s, Hikvision HS-TF-C1STD-64G-A",43.99,40.0
"Cutie de distributie neagra pentru camere de supraveghere, Hikvision DS-1280ZJ-DM18(black)",43.99,36.0
"Set 100 buc x Mufa RJ45 UTP/ FTP, 8 pini, cu ecranaj metalic TEL0005Ax100",44.99,37.99
"Cablu HDMI 1.4 19p-19p, cu Ethernet, 1.5m, Blister, HQ, HDMI-ETHERNET-1.5MHQ",44.99,40.0
