SKU,Name,Price,Discount,Price Difference
KIT6KW-MONO-GR-380,"Sistem fotovoltaic ON-GRID 6KW, monofazat, montaj pe acoperis din tigla, KIT6KW-MONO-GR-380",16117.82,15513.96,603.8600000000006
DS-7616NI-I2/16P,"NVR 16 canale Hikvision, 12MP, 160 Mbps, 16x PoE, 2xSATA, DS-7616NI-I2/16P",2507.99,1905.69,602.2999999999997
KITAXPRO64+3SZR+SIR,"Kit sistem de alarma Tri-X wireless GSM, 32 de utilizatori, 4 senzori, o sirena de exterior, KITAXPRO64+3SZR+SIR Hikvision",2212.99,1611.99,600.9999999999998
TL-SG3428XMP,"Switch 24 porturi Gigabit PoE+ si 4-Porturi SFP+ 10GE, Management L2+, 384W, Tp-link TL-SG3428XMP",3399.99,2800.0,599.9899999999998
SEKA P-IE-R,Terminal iesire cu cartele SEKA P-IE-R,8314.99,7716.45,598.54
DS-7716NI-K4/16P,"NVR 16 canale 8 MP, 4 x HDD,16 PoE, Hikvision DS-7716NI-K4/16P",2532.99,1936.0,596.9899999999998
DS-7716NXI-K4/16P,"NVR 16 canale AcuSense, 12MP, 160 Mbps, 4x SATA, 16x PoE, Functii AI, Hikvision DS-7716NXI-K4/16P",2536.99,1947.0,589.9899999999998
DYNAMOSXL1800KIT,"Automatizare de poarta culisanta pentru trafic intens 1800 KG, King Gates Dynamos XL",3049.99,2461.99,588.0
KIT5KW-MONO-HUAWEI455,"Sistem de alimentare cu energie solara, 5KW, Monofazat, Hibrid, KIT5KW-MONO-HUAWEI455",13826.64,13239.13,587.5100000000002
DS-2SE4C415MWG-E14F0,"Camera IP TandemVu, AcuSense DarkFighter, 4MP, Varifocala, Zoom optic x15 / Zoom digital x16, IR 100m/LED 30m, PoE+, Hikvision DS-2SE4C415MWG-E14F0",2443.99,1857.0,586.9899999999998
DS-7616NXI-I2/16P/S(C),"NVR 16 canale, 16xPoE, AcuSense, 12MP, bandwidth 256 Mbps, 2x SATA, Recunoastere faciala, Hikvision DS-7616NXI-I2/16P/S(C)",2431.99,1847.56,584.4299999999998
KIT6KW-MONO-HUAWEI455,"Sistem de alimentare cu energie solara, 6KW, Monofazat, Hibrid KIT6KW-MONO-HUAWEI455",16848.12,16268.24,579.8799999999992
DS-KH8350-WTE1,"Monitor videointerfon TCP/IP 7 inch, touchscreen, Wi-Fi, standard PoE, Hikvision DS-KH8350-WTE1",1261.99,682.71,579.28
PFM906-E,"Tester CCTV, Full HD, cu Touchscreen, test retea, Wi-Fi, HDCVI, HDTVI, AHD, CVBS, IPC, HDMI IN/OUT, USB, Dahua PFM906-E",3872.99,3294.0,578.9899999999998
DS-KD9203-E6,"Post de exterior pentru videointerfon IP, 2 MP, recunoastere faciala, 500 de familii, Hikvision, DS-KD9203-E6",1930.99,1353.99,577.0
KITSAF4FHDE,"Sistem de supraveghere IP pentru exterior, 4 camere de 2MP, IR 30m, PoE, Safer KITSAF4FHDE",1598.99,1029.99,569.0
